question;a;b;c;d;reponse;explication;categorie
Quel est le port du Burkina ?;Lomé;Cotonu;Aucun;Abidjan;Aucun;Le Burkina est un pays enclavé;Géographie
Quelle est la capitale de la France ?;Paris;Lyon;Marseille;Nice;Paris;Paris est la capitale de la France et siège du gouvernement depuis le 12ème siècle;Géographie
Combien de continents existe-t-il sur Terre ?;5;6;7;8;7;Les 7 continents sont : Afrique, Antarctique, Asie, Europe, Amérique du Nord, Amérique du Sud et Océanie;Géographie
Quel est le plus grand désert du monde ?;Sahara;Gobi;Kalahari;Arabie;Sahara;Le Sahara situé en Afrique du Nord est le plus grand désert chaud du monde;Géographie
Quelle est la plus haute montagne du monde ?;K2;Kilimanjaro;Everest;Elbrus;Everest;L'Everest (8848m) en Himalaya est la plus haute montagne de la planète;Géographie
En quelle année la Révolution française a-t-elle commencé ?;1787;1789;1791;1793;1789;La Révolution française a débuté en 1789 avec la prise de la Bastille;Histoire
Qui a peint la Joconde ?;Van Gogh;Michelangelo;Leonardo da Vinci;Raphael;Leonardo da Vinci;Leonardo da Vinci a peint la Joconde (Mona Lisa) au début du 16ème siècle;Histoire
Quel chimiste a découvert la radioactivité ?;Marie Curie;Albert Einstein;Isaac Newton;Niels Bohr;Marie Curie;Marie Curie a découvert la radioactivité et remporté deux prix Nobel, en Physique et en Chimie;Sciences
Combien de chromosomes possède le corps humain ?;23;46;48;52;46;Les humains ont 46 chromosomes au total, soit 23 paires. 22 paires d'autosomes et 1 paire de chromosomes sexuels;Sciences
Quel est le pH de l'eau pure ?;5;7;9;11;7;L'eau pure a un pH de 7, ce qui en fait une substance neutre (ni acide ni basique);Sciences
